	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
13157	14531	Mount Merrion Avenue	Blackrock (DunLaoghaire-Rathdown)	E0825014	->NE2	43	BCT	8250DB000431	720705	729348	53.30065716	-6.189101356
13158	14532	Harlech Grove	Clonskeagh	E0822048	->SE	864	BCT	8250DB000864	718100	729441	53.30207933	-6.228128049
13159	14533	Roebuck Road	Clonskeagh	E0822048	->SE	865	BCT	8250DB000865	718259	729331	53.30105578	-6.225784768
13160	14533	Roebuck Road	Clonskeagh	E0822048	->W	873	BCT	8250DB000873	718044	729441	53.3020918	-6.228967786
13161	14534	Roebuck Hall Student Residents	Belfield	E0822097	->SE	866	BCT	8250DB000866	718504	729224	53.30003992	-6.22215095
13162	14535	Foster Avenue	Mount Merrion	E0825018	->NE	205	BCT	8250DB002052	718745	729189	53.2996716	-6.218550362
13163	14535	Foster Avenue	Mount Merrion	E0825018	->SW	867	BCT	8250DB000867	718767	729188	53.29965769	-6.21822086
13164	14536	Carmelites Monastery	Clonskeagh	E0822048	->E	863	BCT	8250DB000863	717845	729500	53.30266606	-6.231929957
13165	14536	Carmelites Monastery	Clonskeagh	E0822048	->W	874	BCT	8250DB000874	717794	729496	53.30264147	-6.232696213
13166	14537	Whitethorn Road	Clonskeagh	E0822048	->S	85	BCT	8250DB000859	717383	730510	53.31184114	-6.238484419
13167	14537	Whitethorn Road	Clonskeagh	E0822048	->N	880	BCT	8250DB000880	717358	730562	53.31231378	-6.238840158
13168	14538	Clonskeagh Road	Clonskeagh	E0822048	->S	860	BCT	8250DB000860	717497	730106	53.30818685	-6.236924124
13169	14538	Clonskeagh Road	Clonskeagh	E0822048	->N	878	BCT	8250DB000878	717486	730102	53.30815336	-6.237090577
13170	14539	Bird Avenue	Clonskeagh	E0822048	->W1	3010	BCT	8250DB003010	717493	729775	53.30521445	-6.237106626
13171	14539	Bird Avenue	Clonskeagh	E0822048	->SE	86	BCT	8250DB000861	717567	729766	53.3051172	-6.236000221
13172	14539	Bird Avenue	Clonskeagh	E0822048	->W2	876	BCT	8250DB000876	717494	729776	53.30522322	-6.237091259
13173	14540	Islamic Centre	Clonskeagh	E0822048	->SE	86	BCT	8250DB000862	717689	729601	53.30360798	-6.234231824
13174	14541	Roebuck Road (White Oak Est)	Clonskeagh	E0822048	->NW	875	BCT	8250DB000875	717596	729695	53.30447299	-6.235591624
13175	14542	University College of Dublin UCD	Belfield	E0822097	->E	877	BCT	8250DB000877	717954	730119	53.30820211	-6.230065457
13176	14544	North Avenue (Mather Road North)	Mount Merrion	E0825018	->NE	868	BCT	8250DB000868	719087	729237	53.30002605	-6.213404301
13177	14544	North Avenue (Mather Road North)	Mount Merrion	E0825018	->SE1	2073	BCT	8250DB002073	719138	729236	53.30000561	-6.21263996
13178	14544	North Avenue (Mather Road North)	Mount Merrion	E0825018	->NW	208	BCT	8250DB002081	719126	729209	53.29976577	-6.212830021
